"location_id","location_group","booking_hub","cluster_id","location_code","location_name","location_dms","outlet_type","outlet_function","location_status","location_added_datetime","latlng"
"1","1","1","1","WFR","MAHADEVAPURA","Whitefield Road - Sales","SHOWROOM","SALES","1","2023-11-28 01:28:33","12.996265369445249,77.6939797846571"
"2","1","1","5","IDR","OAR","Indiranagar - Bangalore","SHOWROOM","SALES","1","2023-11-28 01:28:33","12.955326694839485,77.64104366931424"
"3","1","1","3","YLS","YELAHANKA","YELAHANKA-SAL","SHOWROOM","SALES","1","2023-11-28 01:28:33","13.111095465465747,77.60557485183601"
"4","1","1","1","VRT","VARTHUR","VARTHUR-SAL","SHOWROOM","SALES","1","2023-11-28 01:28:33","12.960127760702157,77.74652094232856"
"5","1","1","4","BSF","BANASHANKARI","NEAR SEETA CIRCLE-SAL","SHOWROOM","SALES","1","2023-11-28 01:28:33","12.92648,77.54878"
"6","1","1","1","KOT","HOSKOTE","KOTEKASABA-SAL","E-OUTLET","SALES","1","2023-11-28 01:28:33","13.072589020848817,77.7735845289246"
"7","1","1","3","KAS","DEVANAHALLI","KASABA HOBLI-SAL","E-OUTLET","SALES","1","2023-11-28 01:28:33","13.261300769398602,77.71802450898271"
"8","1","1","3","CKB","CHIKKABALLAPURA","CHIKKABALLAPURA-SAL","E-OUTLET","SALES","1","2023-11-28 01:28:33","13.418789331579086,77.72943088031431"
"9","1","1","3","BGE","BAGEPALLI","BAGEPALLI-R(3S)","R-OUTLET","SALES","1","2023-11-28 01:28:33","13.777027534549816,77.77897497116427"
"10","1","1","3","SID","SHIDLAGHATTA","SIDLAGHATTA-SAL","R-OUTLET","SALES","1","2023-11-28 01:28:33","13.4027628483952,77.86203139772249"
"11","1","1","3","VYP","VIJAYAPURA","VIJAYAPURA-R(3S)","R-OUTLET","SALES","1","2023-11-28 01:28:33","13.301876619722378, 77.7948409"
"12","1","1","1","KAY","HCROSS","KARIYANAPURA-RO(3S)","R-OUTLET","SALES","1","2023-11-28 01:28:33","13.240091413032092,77.92790072263968"
"13","1","1","4","HSG","HESARGHATTA","HESARAGHATTA-3S(RO)","R-OUTLET","SALES","1","2023-11-28 01:28:33","13.141387318853461,77.47082214725023"
"14","1","1","1","BDC","BUDIGERE","BUDIGERE CROSS-3S(RO)","R-OUTLET","SALES","1","2023-11-28 01:28:33","13.084522106530017,77.73856912029028"
"15","1","1","3","BPG","GUDIBANDE","BEGEPALLI ROAD-3S(RO)","MSSW","SALES","1","2023-11-28 01:28:33","0,0"
"16","1","1","3","BMZ","PERISANDRA","ARURU-3S(RO)","R-OUTLET","SALES","1","2023-11-28 01:28:33","13.577727636005575,77.78132186062882"
"17","1","1","1","OGT","OORGAUMPET","OORGAUMPET-3S(RO)","R-OUTLET","SALES","1","2023-11-28 01:28:33","12.95845142576845,78.2674067669824"
"18","1","1","1","SYJ","BANDAHALLI","BANDAHALLI-3S(RO)","R-OUTLET","SALES","1","2023-11-28 01:28:33","3.133666831750155,77.93281558204787"
"19","1","1","1","BGA","DODDANEKKUNDI","DODDANEKKUNDI-SAL","NEXA-SHOWROOM","SALES","1","2023-11-28 01:28:33","12.994420646677598,77.68870939632862"
"20","1","1","4","NGR","NAGARABHAVI","NAGARABHAVI-S(NEXA)","NEXA-SHOWROOM","SALES","1","2023-11-28 01:28:33","12.985931733562293,77.51711701510806"
"21","1","1","4","YSH","YESHWANTHAPURA","YESHWANTPUR-S(COM)","COMMERCIAL","COM","1","2023-11-28 01:28:33","13.021063077358288,77.53716995152402"
"22","1","0","5","BLR","BANASWADI","BANASWADI-SRV","WORKSHOP","SERVICE","1","2023-11-28 01:28:33","13.0086626424578,77.64153955471534"
"23","1","0","4","KAH","BG ROAD","KALANA AGRAHA-SRV","WORKSHOP","SERVICE","1","2023-11-28 01:28:33","12.870036707447905,77.59264742114573"
"24","1","0","1","TBM","KADUGODI","KADUGODI NEXA -SRV","WORKSHOP","SERVICE","1","2023-11-28 01:28:33","13.044726510654339,77.76061817896867"
"25","1","0","4","KKP","KP ROAD","KANAKAPURA ROAD-SRV","WORKSHOP","SERVICE","1","2023-11-28 01:28:33","12.908100645029496,77.57263166931425"
"26","1","0","4","PEE","PEENYA","PEENYA INDUSTRIAL AREA-SRV","WORKSHOP","SERVICE","1","2023-11-28 01:28:33","13.01806552409394,77.5071453519462"
"27","1","0","5","IDN","KODIHALLI","INDIRANAGAR-SRV","WORKSHOP","SERVICE","1","2023-11-28 01:28:33","12.964831405943421,77.64646006632242"
"28","1","0","1","STY","PHOENIX STOCKYARD","STY","STOCK",,"1","2023-12-22 07:49:07","12.999681353382835,77.69787996681414"
"30","1","0","2","HUL","HULIKUNTE STOCKYARD","HUL","PDI",,"1","2024-05-07 11:22:21","13.272972911978664, 77.3542804346269"
"31","1","0","2","CUST","CUSTOMER OUT","CUST",,,"1","2024-05-15 03:52:24","0,0"
"32","1","0","3","GIGA","GIGA","GIGACARS",,,"1","2024-06-11 06:08:12","13.152398230100792, 77.62215728067245"
"33","1","0","1","BMR","TRUEVALUE","TRUEVALUE","TRUEVALUE",,"1","2024-07-19 05:24:26","0,0"
"35","1","0","1","M-KLR","MASS KOLAR","MASS KOLARA","WORKSHOP","SERVICE","1","2024-09-23 08:24:37","0,0"
"36","1","0","4","M-NBV","MASS NAGARBHAVI",,"MASS",,"1","2024-09-23 08:24:37","0,0"
"37","1","0","3","M-DBL","MASS DODDABALAPURA",,"MASS",,"1","2024-09-23 08:25:44","0,0"
"39","1","0","6","4706","CALICUT","CALICUT","SHOWROOM","SALES","1","2024-11-08 09:07:45","0,0"
"40","1","1","3","CBL","CHIKKABALLAPURA NEXA","CHICKBALLAPUR STUDIO","NEXA-SHOWROOM","SALES","1","2025-03-08 14:50:08","0,0"
"41","1","1","3","DVI","DEVANAHALLI NEXA","DEVANAHALLI STUDIO","NEXA-SHOWROOM","SALES","1","2025-03-08 14:50:08","0,0"
"42","1","1","1","KGC","HOSKOTE-STUDIO","HOSKOTE-STUDIO","NEXA-SHOWROOM","SALES","1","2025-06-07 15:30:22","0,0"
"44","1","1","5","EVA","EVENT","EVENT","STOCK","SALES","1","2026-05-12 16:20:18","0,0"
"45","1","1","5","RTO","RTO INSPECTION","RTO INSPECTION","STOCK","SALES","1","2026-05-12 16:20:18","0,0"
